start_node,end_node,edge_id,start_long,start_lat,end_long,end_lat
332253329,7159812414,332253329->7159812414,114.1716399,22.3168715,114.1716366,22.316827
332253329,1185400641,332253329->1185400641,114.1716399,22.3168715,114.1720891,22.3169562
332253333,8192075924,332253333->8192075924,114.171096,22.3167664,114.1715263,22.31685
332253494,6880235602,332253494->6880235602,114.1669044,22.3149035,114.1669325,22.3148643
332253494,4501974988,332253494->4501974988,114.1669044,22.3149035,114.1670149,22.3143263
332253631,3230274239,332253631->3230274239,114.1688016,22.3158391,114.1689401,22.3152172
332254414,4355051555,332254414->4355051555,114.1724243,22.3209074,114.1723151,22.3211968
332254415,13176603938,332254415->13176603938,114.1721687,22.3208355,114.1722015,22.3208005
332254415,5012933247,332254415->5012933247,114.1721687,22.3208355,114.1721516,22.3208988
334647674,2861669114,334647674->2861669114,114.1612376,22.3144406,114.1612897,22.3143499
334647674,11104977107,334647674->11104977107,114.1612376,22.3144406,114.1612587,22.3143366
334647890,2861666800,334647890->2861666800,114.1615286,22.3108046,114.1615317,22.3111669
334647892,2861669103,334647892->2861669103,114.161534,22.3116428,114.1615049,22.3122024
334647893,334647894,334647893->334647894,114.1613988,22.3130794,114.1612701,22.3136935
334647894,2861669109,334647894->2861669109,114.1612701,22.3136935,114.1612357,22.3138433
334647895,11104980142,334647895->11104980142,114.1609698,22.3146094,114.1608722,22.3148928
334647896,11104980135,334647896->11104980135,114.1604306,22.3160342,114.1604018,22.3161024
334647897,4502010708,334647897->4502010708,114.160232,22.3165049,114.1601491,22.3167134
334648400,1168315957,334648400->1168315957,114.1666616,22.3125568,114.1666818,22.3126045
334648405,334648627,334648405->334648627,114.1649971,22.3120576,114.1658121,22.3121945
334648625,6989122616,334648625->6989122616,114.1669963,22.3124518,114.1671166,22.3124605
334648625,1168315919,334648625->1168315919,114.1669963,22.3124518,114.1669625,22.3128275
334648626,12041326656,334648626->12041326656,114.1663581,22.3122232,114.1664534,22.3122401
334648627,1168315967,334648627->1168315967,114.1658121,22.3121945,114.1662607,22.3122609
334648722,334651133,334648722->334651133,114.1606026,22.3148632,114.1604487,22.3153157
334648723,334651132,334648723->334651132,114.1607399,22.3143529,114.1606875,22.3146074
334648727,2861669101,334648727->2861669101,114.1607421,22.3110543,114.1606825,22.3113768
334649581,11081087759,334649581->11081087759,114.1627326,22.3114027,114.1627992,22.3113196
334649727,334649852,334649727->334649852,114.1610576,22.3165685,114.1612327,22.3160865
334649728,8767974619,334649728->8767974619,114.1608432,22.317115,114.1609633,22.316804
334649729,2868161551,334649729->2868161551,114.1609016,22.3173935,114.1608822,22.3173476
334649849,334650280,334649849->334650280,114.1617614,22.3143634,114.1618073,22.3140341
334649850,4501965609,334649850->4501965609,114.1616869,22.3147388,114.1617092,22.3146259
