u,v,edge_osmid,highway,lanes,name,oneway,reversed,length,junction,bridge,maxspeed,ref,service,access,area,tunnel,geometry,_record_type,number_of_accident,have_accident,lanes_diff,angle,slope
288991213,1295862825,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,14.08378137673542,,,,,,,,,"LINESTRING (114.1622131 22.3164102, 114.1621767 22.3162881)",edge,1,True,0.0,,-3.8661637786662095
288991214,13464191439,1467999748,unclassified,2.0,海庭道 Hoi Ting Road,False,False,45.22234663587943,,,,,,,,,"LINESTRING (114.1624721 22.3167129, 114.1628729 22.31688)",edge,1,True,0.0,,-2.6984172175501464
288991214,13464191438,1467999748,unclassified,2.0,海庭道 Hoi Ting Road,False,True,4.3195791432743285,,,,,,,,,"LINESTRING (114.1624721 22.3167129, 114.1624409 22.3166869)",edge,1,True,0.0,,-0.8020507140675791
288991218,12645795027,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,13.235894312639576,,,,,,,,,"LINESTRING (114.165342 22.3170625, 114.1654208 22.3169684)",edge,1,True,0.0,,-1.3876988115044588
288991218,5118308287,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,11.153151516795804,,,,,,,,,"LINESTRING (114.165342 22.3170625, 114.1652619 22.3171301)",edge,1,True,0.0,,2.7740452707219116
288991218,6261684980,316844067,service,2.0,,False,False,9.908499300696116,,,,,,,,,"LINESTRING (114.165342 22.3170625, 114.1654088 22.3171267)",edge,0,False,0.0,,0.4360762663979359
288991219,7154099552,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,20.79477567454452,,,,,,,,,"LINESTRING (114.1657443 22.3156856, 114.1657786 22.3155013)",edge,1,True,0.0,,2.7679809452368795
288991219,12645795033,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,17.918960755107697,,,,,,,,,"LINESTRING (114.1657443 22.3156856, 114.1657153 22.3158445)",edge,1,True,0.0,,2.7719441753315266
288991219,7154099554,185318973,service,,,False,False,8.684397913564363,,,,,,,,,"LINESTRING (114.1657443 22.3156856, 114.1656616 22.3156699)",edge,0,False,0.0,,0.3709865583290179
288991220,5118308280,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,60.71024313783313,,,,,,,,,"LINESTRING (114.1659866 22.3143483, 114.1660677 22.3138075)",edge,1,True,0.0,,-20.76958402556972
288991220,1962192165,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,26.862476386364165,,,,,,,,,"LINESTRING (114.1659866 22.3143483, 114.1659471 22.3145871)",edge,1,True,0.0,,5.3157215913974705
288991221,1962191716,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,9.386494244771235,,,,,,,,,"LINESTRING (114.1660829 22.3137059, 114.1660846 22.3136215)",edge,1,True,0.0,,-0.6521291768761821
288991221,5118308280,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,11.405111371523358,,,,,,,,,"LINESTRING (114.1660829 22.3137059, 114.1660677 22.3138075)",edge,1,True,0.0,,4.039779907826838
